,ID,Job,Jobs_Group,Profile,Remote,Company,State,ExpenditurePerCapita,Low_Salary,High_Salary,Mean_Salary,Education_level,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skills7,Skills8,Skills9,Skills10,Skills11,Skills12,Skills13,Skills14,Skills15,Skills16,Skills17,Skills18,Skills19,Skills20,Skills21,Skills22
15,job_0d285c2257958e56,Analyst-Merchandising Operations,Data Analyst,Junior,On_Site,Lowe's,North Carolina,43757,56400,94000,75200,Bachelor,PowerPoint,Bachelor,,,,,,,,,,,,,,,,,,,,
89,job_94567636180d376c,Data Analyst,Data Analyst,Junior,Hybrid,ZoomInfo Technologies LLC,Massachusetts,50585,82400,105000,93700,Not specified,Tableau,Salesforce,,,,,,,,,,,,,,,,,,,,
99,job_775487b3e30de40b,"Procurement Analyst, Cloud Operations",Data Analyst,Junior,Hybrid,Zscaler,California,46181,70000,110000,90000,Not specified,Tableau,Jira,Agile,Office,,,,,,,,,,,,,,,,,,
108,job_e829aff00ff122f9,Data Analyst,Data Analyst,Junior,Hybrid,SRS Acquiom,Colorado,50016,53065.6,61916,57490.8,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
138,job_e04cb2f688f71549,Data Analyst,Data Analyst,Junior,On_Site,V-Tech Solutions,Massachusetts,50585,73600,82800,78200,Bachelor,Oracle,Salesforce,ERP,Bachelor,,,,,,,,,,,,,,,,,,
141,job_409eba8b61db2a59,Data Analyst,Data Analyst,Junior,On_Site,Radiant Systems Inc,Florida,46837,46000,46000,46000,Bachelor,Excel,SAP,ERP,Bachelor,,,,,,,,,,,,,,,,,,
142,job_619082ae24e0209e,Data Analyst,Data Analyst,Junior,Hybrid,JVT Advisors,Massachusetts,50585,64400,82800,73600,Master,Salesforce,Bachelor,Oracle,ERP,Master,,,,,,,,,,,,,,,,,
144,job_38d865f7533ca04f,Data Analyst,Data Analyst,Junior,Hybrid,Samson Software Solution,Massachusetts,50585,51520,77280,64400,Master,Salesforce,Bachelor,Oracle,ERP,Master,,,,,,,,,,,,,,,,,
145,job_a2ed5371918b87d0,Data Analyst,Data Analyst,Junior,On_Site,JVT Advisors,Massachusetts,50585,73600,82800,78200,Bachelor,Oracle,Salesforce,ERP,Bachelor,,,,,,,,,,,,,,,,,,
205,job_cfd36dbbf70f8c5c,OPERATIONS ANALYST II - 60007037,Data Analyst,Junior,On_Site,Florida Department of Children & Families,Florida,46837,34289,55000,44644.5,Not specified,Excel,Office,,,,,,,,,,,,,,,,,,,,
210,job_c9e6fc38547ff9e9,MANAGEMENT OPERATIONS ANALYST I,Data Analyst,Junior,Remote,State of Illinois,Illinois,46247,62172,91968,77070,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
213,job_f34c6cfebd82ff6f,Data Analyst,Data Analyst,Junior,Remote,Commonwealth of PA,Pennsylvania,48097,54181,82387,68284,Not specified,,,,,,,,,,,,,,,,,,,,,,
229,job_2e30b6237890f31b,"Spark Trust and Safety Specialist, Analyst II, Operations, Ecomm",Data Analyst,Junior,On_Site,Walmart,New Jersey,47607,61500,102500,82000,Master,Spark,Master,English,Bachelor,,,,,,,,,,,,,,,,,,
254,job_d58de8088be3cca6,OPERATIONS ANALYST II,Data Analyst,Junior,On_Site,The State of Florida,Florida,46837,34289,55000,44644.5,Not specified,Excel,Office,,,,,,,,,,,,,,,,,,,,
266,sj_afffe5417417878b,"Data Analyst- located in Los Angeles, California",Data Analyst,Junior,On_Site,SDI Inc,California,46181,40000,50000,45000,Not specified,Office,ERP,,,,,,,,,,,,,,,,,,,,
284,job_278701fda519be5d,Data Analyst,Data Analyst,Junior,On_Site,Relativity Space,Florida,46837,84000,107000,95500,Bachelor,PowerPoint,R,CMA,Bachelor,,,,,,,,,,,,,,,,,,
313,job_e2da443eb269b765,Systems Implementation Analyst (Operations & Policy Analyst 3),Data Analyst,Junior,Remote,Department of Consumer & Business Services,Oregon,42179,64740,99504,82122,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
330,job_35a982e89b063a9f,"Data Analyst, Associate",Data Analyst,Junior,Remote,UPMC,Pennsylvania,48097,42761.6,73839.2,58300.4,Bachelor,Excel,Access,Word,Office,Bachelor,,,,,,,,,,,,,,,,,
350,job_3f7a38bc55c52e8b,Operational Analyst II,Data Analyst,Junior,Hybrid,"Coast Professional, Inc.",New York,46909,55431,55431,55431,Not specified,Excel,Office,SQL,Power BI,Python,R,VBA,,,,,,,,,,,,,,,
363,job_2fbcdaacbcde2c0d,Operations Compliance Analyst â€“ Generation,Data Analyst,Junior,On_Site,Evergy,Missouri,45976,49200,61500,55350,Not specified,Excel,Power BI,Word,Office,,,,,,,,,,,,,,,,,,
371,job_bfca59c5673b7678,Data Analyst,Data Analyst,Junior,On_Site,OpenEye,Washington,44377,65000,80000,72500,Bachelor,Excel,Salesforce,Office,Power BI,Bachelor,.NET,,,,,,,,,,,,,,,,
372,job_b479b051cc5d7974,Data Analyst,Data Analyst,Junior,On_Site,Alarm.com,Washington,44377,65000,80000,72500,Bachelor,Excel,Salesforce,Office,Power BI,Bachelor,.NET,,,,,,,,,,,,,,,,
393,sj_98506117f421d017,"Operations Professional- Sales, Service & Repair",Data Analyst,Junior,On_Site,FACT,Indiana,43717,80000,80000,80000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
415,job_f7189eebe42ae53d,OPERATIONS RESEARCH ANALYST,Data Analyst,Junior,Remote,US Naval Air Systems Command,North Carolina,43757,82830,107680,95255,Bachelor,HTML,Office,Bachelor,,,,,,,,,,,,,,,,,,,
425,job_a24a2d53592b9e9b,Operations Research Analyst,Data Analyst,Junior,On_Site,US Missile Defense Agency,Alabama,41618,59304,132945,96124.5,Bachelor,HTML,Office,Bachelor,,,,,,,,,,,,,,,,,,,
485,job_92e3f2e48293acce,Data Analyst,Data Analyst,Junior,On_Site,TIAA,Colorado,50016,38916,57684,48300,Not specified,Access,English,,,,,,,,,,,,,,,,,,,,
500,job_30ba695f08a2ea30,Measure 110 BH Resource Network Analysts - Operations & Policy Analyst 3 (3 positions),Data Analyst,Junior,Hybrid,Oregon Health Authority,Oregon,42179,70500,103956,87228,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
511,job_580e4a9cfc919e4f,Data Analyst,Data Analyst,Junior,On_Site,Community Medical Group,Florida,46837,60000,60000,60000,Master,Tableau,SQL,Power BI,Bachelor,Python,DAX,Qlik,Master,,,,,,,,,,,,,,
537,job_e69638d3251c96bd,Data Analyst,Data Analyst,Junior,On_Site,ACT1 Federal,Virginia,43921,80000,100000,90000,Master,Excel,Word,Office,Bachelor,PowerPoint,Master,,,,,,,,,,,,,,,,
545,job_c651749b27b1dbd7,Program Analyst (Cyber Operations),Data Analyst,Junior,On_Site,US Air Combat Command,South Carolina,42576,57118,74250,65684,Bachelor,HTML,Office,Bachelor,,,,,,,,,,,,,,,,,,,
567,job_9890016a9e586015,Program Analyst (Cyber Operations),Data Analyst,Junior,On_Site,US Department of the Air Force - Agency Wide,California,46181,46696,124677,85686.5,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
581,job_a936e939f6073de6,Data Analyst(BI) Analyst IV,Data Analyst,Junior,On_Site,Peraton,Virginia,43921,66000,106000,86000,Master,Jira,Master,Agile,Bachelor,,,,,,,,,,,,,,,,,,
591,job_ef1f69aa4fad9184,"Project Specialist II, Rail Operations",Data Analyst,Junior,On_Site,Chicago Transit Authority,Illinois,46247,65000,75000,70000,Bachelor,Excel,Access,Word,Office,Bachelor,,,,,,,,,,,,,,,,,
594,job_d3a0cba3baa0da0f,Associate Operations Technology Analyst (Hybrid),Data Analyst,Junior,Hybrid,EVERSOURCE,New Hampshire,48697,64990,72210,68600,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
634,job_424ef8935f3713f6,Data Analyst,Data Analyst,Junior,Remote,Galaxy Technologies,Texas,43376,82000,95000,88500,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
638,job_f6b9c6ec3f02260a,Data Analyst,Data Analyst,Junior,On_Site,"Kia America, Inc.",California,46181,57428,76919,67173.5,Bachelor,Excel,Bachelor,,,,,,,,,,,,,,,,,,,,
649,job_4d487efdf616fc14,Data Analyst,Data Analyst,Junior,On_Site,Spirit Mountain Casino Careers,Oregon,42179,69738,99466,84602,Bachelor,Excel,Tableau,SQL,Power BI,Bachelor,,,,,,,,,,,,,,,,,
656,job_f699fc7fa0a62725,Data Analyst,Data Analyst,Junior,Remote,Wis Phys Svc Ins Corp,Wisconsin,46009,70000,90000,80000,Bachelor,.NET,Cognos,Bachelor,,,,,,,,,,,,,,,,,,,
669,job_aaffd48280c8b5bc,Department Analyst III: Outpatient Operations,Data Analyst,Junior,Hybrid,Cleveland Clinic,Ohio,45013,46239.2,70527.2,58383.2,Master,Tableau,Power BI,Master,Bachelor,,,,,,,,,,,,,,,,,,
673,job_857e96119b5954e3,Behavioral Health Emergency Preparedness and Project Development Analysts â€“ three (3) positions (Operations & Policy Analyst 3),Data Analyst,Junior,Hybrid,Oregon Health Authority,Oregon,42179,64752,103956,84354,Bachelor,Excel,Word,Office,Power BI,Bachelor,PowerPoint,,,,,,,,,,,,,,,,
686,job_f3e467d1e9efafd3,People Operations Compensation Analyst (Contract),Data Analyst,Junior,On_Site,Mercedes-Benz R&D North America,Michigan,45641,77280,92000,84640,Bachelor,Excel,Word,Office,Machine Learning,Bachelor,PowerPoint,,,,,,,,,,,,,,,,
689,job_034babbab977ae8a,Data Analyst,Data Analyst,Junior,On_Site,Equiniti,Minnesota,46604,46000,49680,47840,Not specified,Excel,PowerPoint,Word,Office,,,,,,,,,,,,,,,,,,
781,sj_d4b17c0c8fc80bc4,"ICG Operations, Full Time Analyst - Delaware (North America - 2024)",Data Analyst,Junior,On_Site,Citi,Delaware,47973,60000,60000,60000,Bachelor,Access,Bachelor,,,,,,,,,,,,,,,,,,,,
783,sj_0436230bbd11bc88,Data Analyst,Data Analyst,Junior,On_Site,Jones Advisory Group,Kansas,44131,35000,35000,35000,Not specified,Word,Office,,,,,,,,,,,,,,,,,,,,
792,sj_2d3341bfac9c1a2a,Operations Research / Systems Analyst,Data Analyst,Junior,On_Site,"Systems Planning and Analysis, Inc.",California,46181,85000,125000,105000,Bachelor,Spark,Bachelor,,,,,,,,,,,,,,,,,,,,
800,sj_e2fe456d2de73049,Data Analyst,Data Analyst,Junior,On_Site,Hertz,Florida,46837,75000,75000,75000,Bachelor,Access,SQL,Oracle,Bachelor,AWS,Azure,English,,,,,,,,,,,,,,,
806,sj_e7cdb2d883a662e7,Data Analyst,Data Analyst,Junior,On_Site,AREVO Group,North Carolina,43757,50000,55000,52500,Bachelor,Excel,Word,ERP,Bachelor,,,,,,,,,,,,,,,,,,
810,sj_2648195cd52ef253,Data Analyst,Data Analyst,Junior,On_Site,Vervent Inc,California,46181,66750,89000,77875,Not specified,Excel,Tableau,Office,SQL,Power BI,DAX,,,,,,,,,,,,,,,,
814,sj_657154ee1788b1a2,Account Opening - Operations - Analyst,Data Analyst,Junior,On_Site,eTeam Inc,New York,46909,33120,38640,35880,Bachelor,Excel,PowerPoint,Word,Bachelor,,,,,,,,,,,,,,,,,,
816,sj_4a893947d8f3eb67,Data Analyst,Data Analyst,Junior,On_Site,GroupA LLC,Illinois,46247,42320,51520,46920,Bachelor,Excel,Office,Bachelor,,,,,,,,,,,,,,,,,,,
